"Open","High","Low","Close","Contact","Open.Int","Rtn..1.Day","Rtn..1.Day.1","Rtn..2.Day","Date","Rtn..1.Day.Table","X","X.1","X.2","X.3","sma20","ema14","dn","mavg","up","pctB","rsi14","macd","signal"
1306.3,1318,1265,1272.9,406,100400,"-4.40%","1.61%","-0.56%","09/22/2000","","","","","",1399.685,1375.33045452428,1294.09509470598,1399.685,1505.27490529402,-0.10036515634218,28.7022341973628,0.520794513564704,2.20112187714059
1293,1295,1278,1293.35,212,80400,"1.61%","-2.13%","0.12%","09/25/2000","","","","","",1395.305,1364.39972725438,1280.13678867413,1395.305,1510.47321132587,0.0573648369361323,33.785583133624,-0.251511302343843,1.8891326884589
1286,1286,1261,1265.8,200,63200,"-2.13%","2.30%","0.10%","09/26/2000","","","","","",1389.945,1351.25309695379,1261.86844125485,1389.945,1518.02155874515,0.0153484711943803,30.6184245084411,-1.11546455668541,1.4711823381978
1254.85,1300,1245,1294.9,622,85600,"2.30%","-2.15%","-0.93%","09/27/2000","","","","","",1386.3525,1343.73935069329,1251.99815702963,1386.3525,1520.70684297037,0.159659308444655,37.303937428985,-1.8559186504464,0.959343494239388
1300,1303.3,1267,1267.05,342,102400,"-2.15%","1.24%","1.87%","09/28/2000","","","","","",1381.005,1333.51410393418,1236.94665452845,1381.005,1525.06334547155,0.104483170943727,33.9338539745074,-2.77794809195476,0.32912804869065
1285,1289,1275,1282.8,178,182000,"1.24%","0.62%","2.03%","09/29/2000","","","","","",1375.5275,1326.75222340962,1225.40788943895,1375.5275,1525.64711056105,0.191154607804246,37.3792886507487,-3.5569253385951,-0.378724789103047
1270.05,1295,1260,1290.7,212,179600,"0.62%","1.41%","0.07%","10/03/2000","","","","","",1368.6125,1321.94526028834,1216.25795338258,1368.6125,1520.96704661742,0.244305300597144,39.0950191631801,-4.28328985503185,-1.1279865569659
1290.05,1310,1290.05,1308.85,214,162800,"1.41%","-1.32%","-1.20%","10/04/2000","","","","","",1362.405,1320.19922558323,1210.93573942215,1362.405,1513.87426057785,0.323214955312747,42.9616461906698,-4.79215450646989,-1.87110840945295
1325,1325,1290,1291.6,266,171200,"-1.32%","0.12%","-1.29%","10/05/2000","","","","","",1355.07,1316.38599550547,1204.8089358483,1355.07,1505.3310641517,0.288800910075001,40.3403489211091,-5.01916431216722,-2.57017578890331
1285,1294,1273,1293.1,226,166800,"0.12%","-1.40%","-3.70%","10/06/2000","","","","","",1347.44,1313.28119610474,1200.91076537428,1347.44,1493.96923462572,0.314576251152884,40.6792933654271,-5.0397171740529,-3.18801042086082
1288,1288,1274.1,1275,138,178400,"-1.40%","-2.34%","-5.07%","10/09/2000","","","","","",1338.44,1308.1770366241,1197.43469300767,1338.44,1479.44530699233,0.275043927944312,37.8825116280753,-5.22941431257242,-3.74111075533066
1271,1277.2,1235,1245.2,854,202800,"-2.34%","-2.79%","-2.49%","10/10/2000","","","","","",1327.9775,1299.78009840756,1191.99324916557,1327.9775,1463.96175083443,0.195635709679389,33.7663563744943,-5.36407307492073,-4.21317836846792
1230,1230.05,1202.5,1210.4,692,237600,"-2.79%","0.32%","-2.12%","10/11/2000","","","","","",1314.9125,1287.86275195322,1186.68379075359,1314.9125,1443.14120924641,0.0924762067160592,29.7069814042936,-5.15988787418132,-4.58028605999402
1195,1219.5,1190,1214.25,614,236400,"0.32%","-2.43%","-2.40%","10/12/2000","","","","","",1302.7825,1278.04771835945,1185.09056622797,1302.7825,1420.47443377203,0.123880340977796,30.6995875462136,-5.0561447749728,-4.8334190247738
1192.95,1195,1178.75,1184.75,636,230800,"-2.43%","0.03%","-1.72%","10/13/2000","","","","","",1289.4575,1265.60802257819,1182.13097357247,1289.4575,1396.78402642753,0.0122012074494075,27.4957115582149,-4.86751766640308,-4.97904039453025
1227,1229,1183.5,1185.05,854,245600,"0.03%","-1.74%","-3.73%","10/16/2000","","","","","",1277.4925,1254.8669529011,1180.08959308753,1277.4925,1374.89540691247,0.0254633412375008,27.5784856988243,-4.83846489480771,-5.0407265100609
1172,1175,1150,1164.4,480,285600,"-1.74%","-2.02%","0.38%","10/17/2000","","","","","",1267.4825,1242.80469251429,1166.84967595635,1267.4825,1368.11532404365,-0.0121713565113122,25.4266750920396,-4.67912857865421,-5.02816807363693
1151,1157,1133,1140.9,272,274400,"-2.02%","2.45%","-0.18%","10/18/2000","","","","","",1258.09,1229.21740017905,1147.50983179611,1258.09,1368.67016820389,-0.0298870579755556,23.2074864395816,-4.70459377745029,-4.99321579200172
1144.9,1180,1111.15,1168.8,1322,330000,"2.45%","-2.56%","-2.04%","10/19/2000","","","","","",1249.0625,1221.16174682184,1140.29277132975,1249.0625,1357.83222867025,0.131043944941125,30.9165191062972,-4.63104531664086,-4.94780780784483
1200,1214,1078,1138.85,494,290000,"-2.56%","0.53%","1.25%","10/20/2000","","","","","",1239.4325,1210.1868472456,1127.48731129142,1239.4325,1351.37768870858,0.0507511257949701,27.701645673679,-4.82796785962191,-4.90320264640588
